Source,Target,Tick
4,21,1
4,21,1
4,21,1
4,21,1
4,21,1
4,41,1
1,21,1
43,33,1
43,33,1
44,40,1
44,40,1
40,44,1
4,21,1
4,21,1
44,20,1
44,20,1
44,20,1
44,20,1
44,20,1
3,25,1
20,34,1
20,34,1
20,34,1
34,33,1
34,33,1
34,33,1
33,34,1
34,33,1
34,33,1
44,43,1
51,22,1
22,51,1
51,22,1
22,33,1
20,34,1
36,30,1
50,37,1
50,37,1
6,50,1
37,50,1
50,37,1
37,50,1
50,51,1
50,51,1
51,50,1
50,51,1
51,50,1
50,51,1
51,50,1
36,43,1
36,43,1
17,43,1
20,44,1
44,20,1
36,30,1
36,30,1
36,30,1
36,30,1
36,30,1
36,30,1
36,30,1
36,30,1
36,30,1
30,36,1
36,47,1
24,41,1
37,35,1
37,35,1
35,37,1
37,35,1
35,37,1
35,37,1
35,37,1
35,37,1
35,37,1
4,24,1
4,24,1
4,24,1
4,24,1
4,24,1
17,34,1
34,17,1
17,34,1
34,17,1
34,17,1
34,17,1
34,17,1
17,34,1
34,17,1
34,17,1
34,17,1
34,17,1
34,17,1
34,17,1
34,17,1
34,17,1
17,34,1
34,17,1
34,17,1
34,17,1
17,34,1
34,17,1
34,17,1
17,34,1
17,34,1
34,17,1
9,41,1
9,41,1
9,41,1
9,41,1
20,34,1
34,20,1
20,34,1
34,20,1
4,17,1
4,17,1
4,17,1
4,17,1
4,17,1
4,17,1
4,17,1
4,17,1
4,17,1
4,17,1
4,17,1
4,17,1
4,17,1
4,17,1
4,17,1
4,17,1
41,35,1
41,35,1
41,35,1
41,35,1
41,35,1
41,35,1
41,35,1
41,35,1
41,35,1
35,41,1
34,18,1
34,18,1
34,18,1
34,18,1
34,18,1
18,34,1
18,17,1
8,34,1
4,33,2
4,33,2
4,33,2
4,33,2
4,33,2
4,33,2
4,33,2
4,33,2
4,33,2
4,33,2
4,33,2
33,44,2
4,47,2
4,47,2
4,47,2
4,47,2
44,51,2
51,44,2
44,51,2
51,44,2
44,51,2
44,51,2
44,51,2
51,44,2
44,51,2
51,44,2
51,44,2
33,44,2
44,33,2
51,44,2
33,44,2
33,44,2
1,30,2
1,30,2
1,30,2
4,44,2
4,44,2
51,44,2
51,44,2
44,51,2
44,41,2
44,41,2
51,44,2
44,41,2
51,41,2
1,48,2
45,44,2
8,48,2
45,44,2
45,44,2
4,28,2
51,35,2
51,35,2
51,35,2
51,35,2
51,35,2
51,35,2
51,35,2
51,35,2
51,35,2
51,35,2
51,35,2
51,35,2
51,35,2
51,35,2
51,35,2
51,35,2
51,35,2
51,35,2
16,44,2
16,44,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
4,24,2
36,47,2
44,40,2
4,30,2
4,13,2
4,13,2
4,33,2
4,33,2
4,33,2
4,33,2
4,33,2
4,24,2
4,24,2
6,24,2
24,44,2
4,21,2
20,44,2
20,44,2
20,44,2
44,40,2
44,40,2
44,40,2
44,40,2
44,40,2
44,20,2
20,44,2
44,20,2
20,44,2
44,20,2
44,20,2
44,20,2
20,33,2
41,44,2
41,44,2
41,44,2
4,13,2
47,33,2
47,33,2
47,33,2
47,33,2
4,20,2
4,20,2
4,47,2
4,47,2
4,47,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
4,20,2
12,34,2
44,47,2
41,51,2
51,41,2
41,51,2
4,41,2
4,41,2
4,21,2
35,21,2
3,24,2
3,24,2
3,24,2
3,24,2
36,42,2
1,30,2
3,44,2
51,36,2
44,20,2
44,20,2
36,47,2
47,30,2
30,47,2
47,30,2
20,44,2
37,35,2
35,37,2
